s.no,academic_year,branch_id,branch_name,college_type,sem,college_id,college_code,college_name,venue,college_schedule_type,skill_offering_id,course_name,training_partner_id,training_partner_name,planned_week,session1_date,session1_time,session1_duration,session1_trainer,session1_trainer_profile,session1_head_count,session1_status,session2_date,session2_time,session2_duration,session2_trainer,session2_trainer_profile,session2_head_count,session2_status
61,2024-2025,37,B.Tech Information Technology,,6,932,8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,1,,,,,,,,,,,,,,
62,2024-2025,37,B.Tech Information Technology,,6,932,8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,2,,,,,,,,,,,,,,
63,2024-2025,37,B.Tech Information Technology,,6,932,8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,3,,,,,,,,,,,,,,
64,2024-2025,37,B.Tech Information Technology,,6,932,8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,4,,,,,,,,,,,,,,
65,2024-2025,37,B.Tech Information Technology,,6,932,8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,5,,,,,,,,,,,,,,
66,2024-2025,37,B.Tech Information Technology,,6,932,8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,6,,,,,,,,,,,,,,
67,2024-2025,37,B.Tech Information Technology,,6,932,8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,7,,,,,,,,,,,,,,
68,2024-2025,37,B.Tech Information Technology,,6,932,8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,8,,,,,,,,,,,,,,
69,2024-2025,37,B.Tech Information Technology,,6,932,8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,9,,,,,,,,,,,,,,
70,2024-2025,37,B.Tech Information Technology,,6,932,8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,10,,,,,,,,,,,,,,
71,2024-2025,37,B.Tech Information Technology,,6,759,6227,SRG ENGINEERING COLLEGE,SRG ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,1,,,,,,,,,,,,,,
72,2024-2025,37,B.Tech Information Technology,,6,759,6227,SRG ENGINEERING COLLEGE,SRG ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,2,,,,,,,,,,,,,,
73,2024-2025,37,B.Tech Information Technology,,6,759,6227,SRG ENGINEERING COLLEGE,SRG ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,3,,,,,,,,,,,,,,
74,2024-2025,37,B.Tech Information Technology,,6,759,6227,SRG ENGINEERING COLLEGE,SRG ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,4,,,,,,,,,,,,,,
75,2024-2025,37,B.Tech Information Technology,,6,759,6227,SRG ENGINEERING COLLEGE,SRG ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,5,,,,,,,,,,,,,,
76,2024-2025,37,B.Tech Information Technology,,6,759,6227,SRG ENGINEERING COLLEGE,SRG ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,6,,,,,,,,,,,,,,
77,2024-2025,37,B.Tech Information Technology,,6,759,6227,SRG ENGINEERING COLLEGE,SRG ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,7,,,,,,,,,,,,,,
78,2024-2025,37,B.Tech Information Technology,,6,759,6227,SRG ENGINEERING COLLEGE,SRG ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,8,,,,,,,,,,,,,,
79,2024-2025,37,B.Tech Information Technology,,6,759,6227,SRG ENGINEERING COLLEGE,SRG ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,9,,,,,,,,,,,,,,
80,2024-2025,37,B.Tech Information Technology,,6,759,6227,SRG ENGINEERING COLLEGE,SRG ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,10,,,,,,,,,,,,,,
